,text
1533, Brilique AstraZeneca : Kapitell forsiktighet: ForsiktighetsreglerBlødningsrisiko: Bruk av tikagrelor ved kjent risiko for blødning bør avveies mot fordelene relatert til forebyggelse av aterotrombotiske hendelser. Hvis klinisk indisert  bør tikagrelor brukes med forsiktighet i følgende pasientgrupper: Pasienter med økt blødningstendens (f.eks. pga. nylig traume  nylig operasjon  koagulasjonssykdommer  aktiv eller nylig gastrointestinal blødning) eller som har økt risiko for traume. Pasienter som samtidig får legemidler som kan øke blødningsrisikoen (f.eks. NSAID  perorale antikoagulanter og/eller fibrinolytika) innen 24 timer før tikagrelordosering. Blodplatetransfusjon reverserer ikke tikagrelors platehemmende effekt hos friske  og er sannsynligvis ikke nyttig ved blødning. Tikagrelor i blodbanen kan hemme transfunderte blodplater. Behandling med antifibrinolytika (aminokapronsyre eller traneksamsyre) og/eller behandling med rekombinant faktor VIIa kan øke hemostasen. Behandlingen med tikagrelor kan gjenopptas etter at blødningsårsaken er identifisert og kontrollert. Kirurgi: Pasienten bør rådes til å informere lege og tannlege om bruken av tikagrelor før planlegging av operasjon og før det tas nye legemidler. Hvis pasienten skal gjennomgå elektiv operasjon og antiblodplateeffekt ikke er ønskelig  bør tikagrelorbehandlingen avbrytes 5 dager før operasjonen. Tidligere iskemisk slag: Pasienter med akutt koronarsyndrom med tidligere iskemisk slag kan behandles med tikagrelor i opptil 12 måneder. Pga. fravær av data er ikke behandling utover 1 år anbefalt hos pasienter med tidligere hjerteinfarkt og med tidligere iskemisk slag. Risiko for bradykardi: Holter-monitorering med EKG har vist økt frekvens av hovedsakelig asymptomatiske ventrikulære pauser under tikagrelorbehandling. Bør brukes med forsiktighet ved økt risiko for bradykardi (f.eks. hos pasienter uten pacemaker med syk-sinus-syndrom  AV-blokk av grad 2 eller 3 eller bradykardirelatert synkope) pga. begrenset klinisk erfaring. Forsiktighet bør utvises når tikagrelor administreres sammen med legemidler som er kjent for å indusere bradykardi. Hendelser med bradyarytmi og AV-blokk er rapportert  primært hos pasienter med ACS. Potensielle konfunderende faktorer hos pasienter med ACS er hjerteiskemi og samtidig bruk av legemidler som reduserer hjertefrekvensen eller påvirker hjertets ledningsevne. Pasientens kliniske tilstand og samtidig bruk av legemidler skal vurderes som potensielle årsaker før behandlingen justeres. Dyspné: Pasienter med astma/kols kan ha økt risiko for dyspné  og tikagrelor bør brukes med forsiktighet hos disse pasientene. Ved nye  forlengede eller forverrede dyspnéepisoder  bør pasienten undersøkes grundig og tikagrelorbehandlingen bør stoppes hvis den ikke tolereres. Sentral søvnapné: Sentral søvnapné  inkl. Cheyne-Stokes respirasjon  er rapportert etter markedsføring. Ved mistenkt sentral søvnapné skal ytterligere klinisk undersøkelse vurderes. Kreatininøkning: Kreatininnivået kan øke under behandlingen. Nyrefunksjon bør kontrolleres iht. vanlig medisinsk praksis. Hos pasienter med akutt koronarsyndrom anbefales det også å kontrollere nyrefunksjonen én måned etter behandlingsoppstart  og det bør utvises spesiell oppmerksomhet overfor pasienter ≥75 år  pasienter med moderat/alvorlig nedsatt nyrefunksjon og ved samtidig behandling med en angiotensinreseptorhemmer (ARB). Urinsyreøkning: Forsiktighet skal utvises ved tidligere hyperurikemi eller urinsyregikt. Anbefales ikke til pasienter med urinsyrenefropati. Trombotisk trombocytopenisk purpura (TTP): TTP er sett i svært sjeldne tilfeller  og kjennetegnes ved trombocytopeni og mikroangiopatisk hemolytisk anemi som er assosiert med enten nevrologiske funn  renal dysfunksjon eller feber. TTP er en potensielt livstruende tilstand som krever øyeblikkelig behandling inkl. plasmaferese. Interferens med blodplatefunksjonstester for å diagnostisere heparinindusert trombocytopeni (HIT): I den heparininduserte plateaktiveringstesten (HIPA) som brukes for å diagnostisere HIT  vil platehemmer faktor 4/heparin antistoffer i pasientens serum aktivere blodplater fra friske donorer i nærvær av heparin. Falske negative resultater i en blodplatefunksjonstest for HIT (som inkluderer  men som ikke nødvendigvis er begrenset til HIPA-testen) er rapportert hos pasienter som har fått tikagrelor. Dette er relatert til hemming av P2Y12-reseptoren på de friske donorblodplatene i testen av tikagrelor i pasientens serum/plasma. Informasjon om samtidig behandling med tikagrelor er påkrevet for tolkning av HIT blodplatefunksjonstester. Nytte-risiko av fortsatt behandling med tikagrelor bør vurderes hos pasienter som har utviklet HIT  og både den protrombotiske tilstanden av HIT og den økte risikoen for blødning ved samtidig behandling med antikoagulant og tikagrelor må tas i betraktning. For tidlig seponering: For tidlig seponering kan føre til økt risiko for kardiovaskulær død  hjerteinfarkt eller slag (pga. pasientens underliggende sykdom)  og bør derfor unngås. Hjelpestoffer: Inneholder <1 mmol (23 mg) natrium pr. dose  og er så godt som natriumfritt. Bilkjøring og bruk av maskiner: Svimmelhet og forvirring rapportert. Pasienter som opplever disse symptomene bør derfor være varsomme når de kjører bil eller bruker maskiner.
1534, Brilique AstraZeneca : Kapitell dosering-strukturert: Dosering                 Voksne inkl. eldre                              Pasienter som tar tikagrelor  skal også ta ASA daglig i en lav vedlikeholdsdose på 75-150 mg  med mindre dette er spesielt kontraindisert. Akutt koronarsyndrom: Behandlingen skal startes med én enkelt startdose på 180 mg (2 tabletter 90 mg)  og deretter fortsettes behandlingen med 1 tablett 90 mg 2 ganger daglig. Det anbefales behandling med 90 mg 2 ganger daglig i 12 måneder ved akutt koronarsyndrom  med mindre det er klinisk indisert å avbryte behandlingen. Tidligere hjerteinfarkt: 60 mg 2 ganger daglig er anbefalt dose når det kreves forlenget behandling for pasienter med ett tidligere hjerteinfarkt for minst 1 år siden og som har høy risiko for ny aterotrombotisk hendelse. Behandling kan startes uten avbrudd som en kontinuerlig behandling etter den initiale 1-årsbehandlingen med tikagrelor 90 mg eller annen behandling med adenosindifosfat (ADP)-reseptorhemmer hos pasienter med akutt koronarsyndrom med en høy risiko for en aterotrombotisk hendelse. Behandling kan også startes opptil 2 år etter et hjerteinfarkt eller innen 1 år etter avslutning av tidligere behandling med ADP-reseptorhemmer. Det er begrensede data på effekt og sikkerhet utover 3 år med forlenget behandling. Dersom et bytte er nødvendig  bør den første dosen med tikagrelor administreres 24 timer etter den siste dosen med platehemmende medisinering.                 Glemt dose Dersom pasienten glemmer en tikagrelordose  skal bare én tablett tas til fastsatt tid ved neste dosering.              Spesielle pasientgrupper  Nedsatt leverfunksjon: Dosejustering er ikke nødvendig ved lett nedsatt leverfunksjon. Begrensede data fra pasienter med moderat nedsatt leverfunksjon. Dosejusteringer anbefales ikke  men tikagrelor bør brukes med forsiktighet. Ikke studert ved alvorlig nedsatt leverfunksjon  og bruk hos disse pasientene er derfor kontraindisert. Nedsatt nyrefunksjon: Dosejustering er ikke nødvendig. Barn og ungdom <18 år: Sikkerhet og effekt er ikke fastslått. Bruk hos barn med sigdcellesykdom er ikke relevant.     Administrering Kan tas med eller uten mat. For pasienter som ikke kan svelge tablettene hele  kan de knuses til et fint pulver og blandes i et halvt glass vann og drikkes umiddelbart. Glasset bør skylles med ytterligere et halvt glass vann og innholdet drikkes. Blandingen kan også gis via nasogastrisk sonde (CH8 eller større). Det er viktig å skylle gjennom den nasogastriske sonden med vann etter administrering av blandingen.              Legemiddelfoto               Brilique «AstraZeneca» tabletter  filmdrasjerte 60 mg         Merking 1: T   Merking 2: 60   Form: Rund   Deling: Uten delestrek/-kors   Mål (lengde × bredde): 8.2x8.2 mm   Farge: Lyserød      Farge og størrelse på kapsel/tablett kan avvike noe.            Brilique «AstraZeneca» tabletter  filmdrasjerte 90 mg         Merking 1: T   Merking 2: 90   Form: Rund   Overflateform: Konveks   Deling: Uten delestrek/-kors   Mål (lengde × bredde): 9.1x9.1 mm   Offisiell farge: Gul   Farge: Lysegul   Informasjon fra legemiddelfirma: 90 T      Farge og størrelse på kapsel/tablett kan avvike noe.
1535, Brilique AstraZeneca : Kapitell overdosering: Overdosering/Forgiftning        Forgiftninger - Giftinformasjonen                                      B01A C24                                              Tikagrelor                            B01A C24   Tikagrelor                                                            Toksisitet: Begrenset erfaring med overdoser. Voksne: Enkeltdoser på inntil 900 mg har vært godt tolerert.                                                                                      Klinikk og behandling: Se Hemmere av blodplateaggregasjon  ekskl. heparin  B01A C. I tillegg risiko for hjertepåvirkning. Følg EKG ved store doser.                                               Tikagrelor er godt tolerert i enkeltdoser opptil 900 mg. Gastrointestinal toksisitet var dosebegrensende i en studie med økende enkeltdoser. Andre klinisk relevante bivirkninger som kan opptre ved overdose  omfatter dyspné og ventrikulære pauser. EKG-monitorering bør vurderes ved overdose. Tikagrelor er ikke dialyserbart. Forventet virkning av for høy tikagrelordose er forlenget periode med blødningsrisiko forbundet med blodplatehemming. Blodplatetransfusjon er sannsynligvis ikke nyttig ved blødning. Ved blødning skal det iverksettes andre relevante støttetiltak.
1536, Brilique AstraZeneca : Kapitell LastDateChangedSection: Sist endret: 05.05.2022               (priser og ev. refusjon oppdateres hver 14. dag)
1537, Kengrexal Chiesi Farmaceutici (Chiesi Pharma AB) : Kapitell indikasjon: IndikasjonerKangrelor  administrert sammen med acetylsalisylsyre (ASA)  er indisert for reduksjon av trombotiske kardiovaskulære hendelser hos voksne med koronararteriesykdom  som gjennomgår perkutan koronar intervensjon (PCI)  som ikke har fått en oral P2Y12-hemmer før PCI-prosedyren  og som oral P2Y12-behandling ikke er ønskelig eller gjennomførbart for.
1538, Kengrexal Chiesi Farmaceutici (Chiesi Pharma AB) : Kapitell spc-preparatomtale: SPC (preparatomtale)    Kengrexal PULVER TIL KONSENTRAT TIL INFUSJONS-/INJEKSJONSVÆSKE  oppløsning 50 mgGå til godkjent preparatomtale    Lenkene går til godkjente preparatomtaler (SPC) på Legemiddelverkets nettside. Legemidler sentralt godkjent i EU/EØS lenkes til preparatomtaler på nettsiden til The European Medicines Agency (EMA). For sentralt godkjente legemidler ligger alle styrker og legemiddelformer etter hverandre i samme dokument.
1539, Kengrexal Chiesi Farmaceutici (Chiesi Pharma AB) : Kapitell vnrtabell: Pakninger  priser og refusjon  Kengrexal  PULVER TIL KONSENTRAT TIL INFUSJONS-/INJEKSJONSVÆSKE  oppløsning:     Styrke Pakning                    Varenr. Refusjon Pris (kr) R.gr.     50 mg 10 stk. (hettegl.) 125981 - 37 623 50 C
1540, Kengrexal Chiesi Farmaceutici (Chiesi Pharma AB) : Kapitell bivirkning: Bivirkninger Gå til bivirkningssøk                 Frekvensintervaller: Svært vanlige (≥1/10)  vanlige (≥1/100 til <1/10)  mindre vanlige (≥1/1000 til <1/100)  sjeldne (≥1/10 000 til <1/1000)  svært sjeldne (<1/10 000) og ukjent frekvens.                        Bivirkningsoppslag             Endre sortering til Frekvens      Organklasse Bivirkning   Blod/lymfe   Sjeldne Anemi  trombocytopeni   Gastrointestinale   Mindre vanlige Gastrointestinal blødning  peritonealt hematom  retroperitoneal blødning (inkl. fatal)   Generelle   Vanlige Væsking fra karpunksjonsstedet   Mindre vanlige Hematom på karpunksjonsstedet   Hjerte   Mindre vanlige Hjertetamponade (perikardblødning)   Hud   Vanlige Ekkymose (petekkier  purpura)   Mindre vanlige Kløe  urtikaria  utslett   Sjeldne Angioødem   Immunsystemet   Sjeldne Anafylaktisk reaksjon (anafylaktisk sjokk)  overfølsomhet   Infeksiøse   Svært sjeldne Hematominfeksjon   Kar   Vanlige Blødning  hematom <5 cm   Mindre vanlige Hemodynamisk ustabilitet   Sjeldne Sårblødning  vaskulær pseudoaneurisme   Kjønnsorganer/bryst   Sjeldne Bekkenblødning   Svært sjeldne Menoragi  penisblødning   Luftveier   Vanlige Anstrengelsesdyspné   Mindre vanlige Epistakse  hemoptyse   Sjeldne Lungeblødning   Nevrologiske   Sjeldne Intrakraniell blødning  inkl. fatal   Nyre/urinveier   Mindre vanlige Nyresvikt (inkl. akutt)  urinrørsblødning   Skader/komplikasjoner   Vanlige Hematom ≥5 cm   Sjeldne Kontusjon   Svært sjeldne Periorbitalt hematom  subkutant hematom   Svulster/cyster   Svært sjeldne Blødende hudneoplasi   Undersøkelser   Vanlige Redusert hematokrit  redusert hemoglobin (uvanlig ved transfusjon)   Mindre vanlige Økt kreatinin i blod   Sjeldne Redusert erytrocyttall  redusert INR (unormal koagulasjonstid  forlenget protrombintid)  redusert trombocyttall   Øre   Svært sjeldne Øreblødning   Øye   Sjeldne Øyeblødning      Endre sortering til Organklasse      Frekvens Bivirkning   Vanlige   Generelle Væsking fra karpunksjonsstedet   Hud Ekkymose (petekkier  purpura)   Kar Blødning  hematom <5 cm   Luftveier Anstrengelsesdyspné   Skader/komplikasjoner Hematom ≥5 cm   Undersøkelser Redusert hematokrit  redusert hemoglobin (uvanlig ved transfusjon)   Mindre vanlige   Gastrointestinale Gastrointestinal blødning  peritonealt hematom  retroperitoneal blødning (inkl. fatal)   Generelle Hematom på karpunksjonsstedet   Hjerte Hjertetamponade (perikardblødning)   Hud Kløe  urtikaria  utslett   Kar Hemodynamisk ustabilitet   Luftveier Epistakse  hemoptyse   Nyre/urinveier Nyresvikt (inkl. akutt)  urinrørsblødning   Undersøkelser Økt kreatinin i blod   Sjeldne   Blod/lymfe Anemi  trombocytopeni   Hud Angioødem   Immunsystemet Anafylaktisk reaksjon (anafylaktisk sjokk)  overfølsomhet   Kar Sårblødning  vaskulær pseudoaneurisme   Kjønnsorganer/bryst Bekkenblødning   Luftveier Lungeblødning   Nevrologiske Intrakraniell blødning  inkl. fatal   Skader/komplikasjoner Kontusjon   Undersøkelser Redusert erytrocyttall  redusert INR (unormal koagulasjonstid  forlenget protrombintid)  redusert trombocyttall   Øye Øyeblødning   Svært sjeldne   Infeksiøse Hematominfeksjon   Kjønnsorganer/bryst Menoragi  penisblødning   Skader/komplikasjoner Periorbitalt hematom  subkutant hematom   Svulster/cyster Blødende hudneoplasi   Øre Øreblødning                 Rapportering av bivirkninger
1541, Kengrexal Chiesi Farmaceutici (Chiesi Pharma AB) : Kapitell oppbevaring-holdbarhet: Oppbevaring og holdbarhetPulveret skal rekonstitueres umiddelbart før fortynning og bruk. Skal ikke oppbevares i kjøleskap. Bør fra et mikrobiologisk synpunkt brukes umiddelbart med mindre rekonstitusjons-/fortynningsmetoden utelukker risiko for mikrobiologisk kontaminasjon. Hvis det ikke brukes umiddelbart  er oppbevaringstider i bruk og oppbevaringsbetingelser før bruk brukerens ansvar.
1542, Kengrexal Chiesi Farmaceutici (Chiesi Pharma AB) : Kapitell kontraindikasjon: KontraindikasjonerAktiv blødning eller økt risiko for blødning pga. forringet hemostase og/eller irreversible koagulasjonssykdommer  eller pga. nylig  omfattende kirurgi/traume eller ukontrollert alvorlig hypertensjon. Enhver historikk med slag eller transitorisk iskemisk anfall (TIA). Overfølsomhet for innholdsstoffene.
1543, Kengrexal Chiesi Farmaceutici (Chiesi Pharma AB) : Kapitell graviditet-amming: Graviditet  amming og fertilitet  GraviditetIngen/begrensede data. Dyrestudier har vist reproduksjonstoksisitet. Ikke anbefalt under graviditet.               AmmingUtskillelse i morsmelk er ukjent  risiko for nyfødte/spedbarn som ammes kan ikke utelukkes.               FertilitetIngen effekt på kvinnelige fertilitetsparametre i dyrestudier  en reversibel effekt på fertilitet er sett hos hannrotter.
1544, Kengrexal Chiesi Farmaceutici (Chiesi Pharma AB) : Kapitell BasedOnSPC: Basert på SPC godkjent av SLV/EMA: 16.01.2023
1545, Kengrexal Chiesi Farmaceutici (Chiesi Pharma AB) : Kapitell deklarasjon: PULVER TIL KONSENTRAT TIL INFUSJONS-/INJEKSJONSVÆSKE  oppløsning 50 mg: Hvert hetteglass inneh.: Kangrelortetranatrium tilsv. kangrelor 50 mg  mannitol  sorbitol  natriumhydroksid (for pH-justering). Etter rekonstituering til konsentrat: 10 mg/ml. Etter fortynning: 200 µg/ml.
1546, Kengrexal Chiesi Farmaceutici (Chiesi Pharma AB) : Kapitell egenskap: Egenskaper og miljø  VirkningsmekanismeBlokkerer ADP-indusert blodplateaktivering og -aggregering  via selektiv og reversibel binding til P2Y12-reseptoren.               AbsorpsjonTmax: <2 minutter.               Proteinbinding97-98%.               FordelingVd 3 9 liter.               Halveringstid3-6 minutter  uavhengig av dose. Blodplatefunksjonen gjenopprettes innen 60 minutter etter at infusjonen er stoppet.               MetabolismeDeaktiveres raskt i plasma ved defosforylering.               Utskillelse58% via urin og 35% via feces  antagelig etter utskillelse via galleveiene.                      Miljø og legemidler                B01A C25                         Kangrelor                                                                          Miljørisiko: Miljøpåvirkning av kangrelor kan ikke utelukkes  da økotoksikologiske data mangler.   Bioakkumulering: Kangrelor har lavt potensiale for bioakkumulering.  Nedbrytning: Det kan ikke utelukkes at kangrelor er persistent  da data mangler.                          Miljøinformasjonen (datert 15.05.2023) er utarbeidet av Chiesi Pharma.                        Les mer på Fass     Se miljøinfo for virkestoff i samme ATC-gruppe
1547, Kengrexal Chiesi Farmaceutici (Chiesi Pharma AB) : Kapitell forsiktighet: ForsiktighetsreglerBlødningsrisiko: Kan øke blødningsrisikoen  inkl. intrakraniell blødning. Blødning kan oppstå hvor som helst. Ved uforklarlig fall i blodtrykk eller hematokrit  bør preparatet seponeres og blødningshendelse grundig vurderes. Skal brukes med forsiktighet ved sykdomstilstander forbundet med økt blødningsrisiko  og hos pasienter som tar legemidler som kan øke blødningsrisikoen. Kan øke risikoen for hjertetamponade og dyspné. Nedsatt nyrefunksjon: Se Dosering. Hjelpestoffer: Inneholder 52 2 mg sorbitol i hvert hetteglass  og skal ikke brukes ved medfødt fruktoseintoleranse uten at det er strengt nødvendig. Inneholder <1 mmol (23 mg) natrium i hvert hetteglass  og er så godt som natriumfritt. Bilkjøring og bruk av maskiner: Ingen/ubetydelig påvirkning på evnen til å kjøre bil og bruke maskiner.
1548, Kengrexal Chiesi Farmaceutici (Chiesi Pharma AB) : Kapitell dosering-strukturert: Dosering Skal administreres av lege med erfaring i enten akutt koronarpleie eller i koronar-intervensjonsprosedyrer  og er ment for spesiell bruk i akutt- eller sykehusmiljø.                 Voksne                              Anbefalt dose er 30 µg/kg som i.v. bolus  umiddelbart etterfulgt av 4 µg/kg/minutt i.v. infusjonsvæske. Bolusen og infusjonen skal innledes før prosedyren  og fortsettes i minst 2 timer eller så lenge prosedyren varer  det som måtte vare lengst. Etter legevurdering kan infusjonen fortsettes i totalt 4 timer. Pasienten skal overføres til oral P2Y12-behandling for kronisk behandling. For overføring bør en overføringsdose med oral P2Y12-behandling administreres umiddelbart etter avslutning av kangrelorinfusjonen. Alternativt kan en metningsdose med tikagrelor eller prasugrel  men ikke klopidogrel  administreres opptil 30 minutter før infusjonen avsluttes. Hos pasienter som gjennomgår PCI  skal standard adjunktiv terapi under prosedyren implementeres.                Spesielle pasientgrupper  Nedsatt leverfunksjon: Dosejustering ikke nødvendig. Nedsatt nyrefunksjon: Ingen dosejustering. Skal brukes med forsiktighet ved alvorlig nedsatt nyrefunksjon. Barn og ungdom <18 år: Sikkerhet og effekt ikke fastslått  ingen doseringsanbefalinger kan gis. Eldre >75 år: Dosejustering ikke nødvendig.     Tilberedning/Håndtering Hetteglasset på 50 mg skal rekonstitueres umiddelbart før fortynning og bruk ved å tilsette 5 ml sterilt vann for injeksjon. Før administrering må 5 ml rekonstituert oppløsning trekkes ut av hvert hetteglass og fortynnes ytterligere med 250 ml natriumklorid 9 mg/ml (0 9%) oppløsning til injeksjon eller glukose (5%) oppløsning til injeksjon. Bland innholdet i posen grundig. Se SPC for detaljert instruksjon. Fortynnet oppløsning (200 µg/ml) rekker til minst 2 timers administrering. Pasienter ≥100 kg vil trenge minst 2 poser. Skal ikke blandes med andre legemidler.                Administrering Til i.v. bruk  kun etter rekonstituering og fortynning. Bolusen bør administreres raskt (<1 minutt) fra posen med fortynningen  via manuelt i.v. trykk eller pumpe. Påse at bolusen er helt administrert før oppstart av PCI. Start infusjonen umiddelbart etter at bolusen er administrert.
1549, Kengrexal Chiesi Farmaceutici (Chiesi Pharma AB) : Kapitell overdosering: Overdosering/Forgiftning        Forgiftninger - Giftinformasjonen                                      B01A C25                                              Kangrelor                            B01A C25   Kangrelor                                                            Toksisitet: Begrenset erfaring med overdoser.                                                                                      Klinikk og behandling: Se Hemmere av blodplateaggregasjon  ekskl. heparin  B01A C. Kort halveringstid (3-6 minutter) gir gjenopprettet blodplateaggregasjon innen 60 minutter etter seponering.                                                SymptomerBlødning er den mest sannsynlige farmakologiske effekten.               BehandlingEgnede støttetiltak  seponering.
1550, Kengrexal Chiesi Farmaceutici (Chiesi Pharma AB) : Kapitell LastDateChangedSection: Sist endret: 25.08.2023               (priser og ev. refusjon oppdateres hver 14. dag)
1551, Uptravi Janssen (Janssen-Cilag AS) : Kapitell indikasjon: IndikasjonerLangvarig behandling av pulmonal arteriell hypertensjon (PAH) hos voksne i WHO funksjonsklasse II-III  enten som kombinasjonsbehandling hos pasienter som er utilstrekkelig kontrollert med endotelinreseptorantagonist (ERA) og/eller PDE-5-hemmer  eller som monoterapi hos pasienter hvor disse behandlingene ikke er egnet. Effekt er vist i en PAH-populasjon  inkl. idiopatisk og arvelig PAH  PAH relatert til bindevevssykdom  og PAH relatert til korrigert og ukomplisert medfødt hjertesykdom.                De regionale helseforetakenes anbefalinger Pulmonal arteriell hypertensjon (PAH) Lenke til helseforetakenes anbefalinger betyr ikke at det er inngått en avtale om bruk av legemidlet  men at legemidlet står nevnt i anbefalingen. Avtaleteksten bør konsulteres før forskrivning.
1552, Uptravi Janssen (Janssen-Cilag AS) : Kapitell spc-preparatomtale: SPC (preparatomtale)    Uptravi TABLETTER  filmdrasjerte 200 μgUptravi TABLETTER  filmdrasjerte 400 μgUptravi TABLETTER  filmdrasjerte 600 μgUptravi TABLETTER  filmdrasjerte 800 μgUptravi TABLETTER  filmdrasjerte 1000 μgUptravi TABLETTER  filmdrasjerte 1200 μgUptravi TABLETTER  filmdrasjerte 1400 μgUptravi TABLETTER  filmdrasjerte 1600 μgGå til godkjent preparatomtale    Lenkene går til godkjente preparatomtaler (SPC) på Legemiddelverkets nettside. Legemidler sentralt godkjent i EU/EØS lenkes til preparatomtaler på nettsiden til The European Medicines Agency (EMA). For sentralt godkjente legemidler ligger alle styrker og legemiddelformer etter hverandre i samme dokument.
1553, Uptravi Janssen (Janssen-Cilag AS) : Kapitell vnrtabell: Pakninger  priser og refusjon  Uptravi  TABLETTER  filmdrasjerte:     Styrke Pakning                    Varenr. Refusjon Pris (kr) R.gr.     200 μg 60 stk. (blister) 167682 H-resept 45 226 30 C   140 stk. (blister) 374906 H-resept 105 479 70 C   400 μg 60 stk. (blister) 522752 H-resept 45 229 10 C   600 μg 60 stk. (blister) 409733 H-resept 45 229 10 C   800 μg 60 stk. (blister) 186073 H-resept 46 691 00 C   1000 μg 60 stk. (blister) 386892 H-resept 46 691 00 C   1200 μg 60 stk. (blister) 489081 H-resept 46 691 00 C   1400 μg 60 stk. (blister) 413671 H-resept 46 691 00 C   1600 μg 60 stk. (blister) 172595 H-resept 46 691 00 C
1554, Uptravi Janssen (Janssen-Cilag AS) : Kapitell bivirkning: Bivirkninger Gå til bivirkningssøk                 Frekvensintervaller: Svært vanlige (≥1/10)  vanlige (≥1/100 til <1/10)  mindre vanlige (≥1/1000 til <1/100)  sjeldne (≥1/10 000 til <1/1000)  svært sjeldne (<1/10 000) og ukjent frekvens.                        Bivirkningsoppslag             Endre sortering til Frekvens      Organklasse Bivirkning   Blod/lymfe   Vanlige Anemi  redusert hemoglobin   Endokrine   Vanlige Hypertyreose  redusert TSH   Gastrointestinale   Svært vanlige Diaré  kvalme  oppkast   Vanlige Abdominalsmerter  dyspepsi   Generelle   Vanlige Smerter   Hjerte   Mindre vanlige Sinustakykardi   Hud   Vanlige Erytem  urtikaria  utslett   Kar   Svært vanlige Flushing   Vanlige Hypotensjon   Luftveier   Svært vanlige Nasofaryngitt (av ikke-infeksiøs opprinnelse)   Vanlige Tett nese   Muskel-skjelettsystemet   Svært vanlige Artralgi  kjevesmerter  myalgi  smerter i ekstremitet   Nevrologiske   Svært vanlige Hodepine   Stoffskifte/ernæring   Vanlige Redusert appetitt  redusert vekt      Endre sortering til Organklasse      Frekvens Bivirkning   Svært vanlige   Gastrointestinale Diaré  kvalme  oppkast   Kar Flushing   Luftveier Nasofaryngitt (av ikke-infeksiøs opprinnelse)   Muskel-skjelettsystemet Artralgi  kjevesmerter  myalgi  smerter i ekstremitet   Nevrologiske Hodepine   Vanlige   Blod/lymfe Anemi  redusert hemoglobin   Endokrine Hypertyreose  redusert TSH   Gastrointestinale Abdominalsmerter  dyspepsi   Generelle Smerter   Hud Erytem  urtikaria  utslett   Kar Hypotensjon   Luftveier Tett nese   Stoffskifte/ernæring Redusert appetitt  redusert vekt   Mindre vanlige   Hjerte Sinustakykardi                 Rapportering av bivirkninger
1555, Uptravi Janssen (Janssen-Cilag AS) : Kapitell kontraindikasjon: KontraindikasjonerOverfølsomhet for innholdsstoffene. Alvorlig koronar hjertesykdom eller ustabil angina. Hjerteinfarkt i løpet av de siste 6 månedene. Dekompensert hjertesvikt  såfremt den ikke er under nøye medisinsk overvåkning. Alvorlige arytmier. Cerebrovaskulære hendelser (f.eks. forbigående iskemisk anfall  slag) i løpet av de siste 3 månedene. Medfødt eller ervervet klaffefeil med klinisk relevant forstyrrelse av myokardfunksjonen  som ikke er relatert til pulmonal hypertensjon. Samtidig bruk av sterke CYP2C8-hemmere (f.eks. gemfibrozil  se Interaksjoner).
1556, Uptravi Janssen (Janssen-Cilag AS) : Kapitell graviditet-amming: Graviditet  amming og fertilitet        Bruk under graviditet - Legemiddelhåndboken               Seleksipag      Erfaring med bruk hos gravide mangler                         Bruk under amming - Legemiddelhåndboken            Relative doseverdier:  Overgang til morsmelk angis som minimal (< 2 %)  liten (2-5 %)  moderat (5-10 %) eller høy (10-50 %) basert på fraksjon av morens dose/kg kroppsvekt som barnet tilføres. (Barnets relative dose.) Over 3-4 ukers bruk ansees som langtidsbehandling.                       Seleksipag (MM-kategori  3)      Opplysninger mangler                   GraviditetIngen data. Dyrestudier indikerer ingen direkte eller indirekte skadelige effekter på reproduksjon. Seleksipag er ikke anbefalt under graviditet og hos fertile kvinner som ikke bruker prevensjon. Fertile kvinner må bruke effektiv antikonsepsjon under behandling.               AmmingUkjent om seleksipag eller dens metabolitter utskilles i human morsmelk. Utskilles i melk hos rotter. Risiko for diende barn kan ikke utelukkes. Skal ikke brukes under amming.               FertilitetIngen data. I rottestudier ga seleksipag i høye doser forbigående forstyrrelser i østrussyklus  men påvirket ikke fertilitet. Ev. human relevans er ukjent.
1557, Uptravi Janssen (Janssen-Cilag AS) : Kapitell BasedOnSPC: Basert på SPC godkjent av SLV/EMA: 05/2022
1558, Uptravi Janssen (Janssen-Cilag AS) : Kapitell deklarasjon: TABLETTER  filmdrasjerte 200 μg  400 μg  600 μg  800 μg  1000 μg  1200 μg  1400 μg og  1600 μg: Hver tablett inneh.: Seleksipag 200 µg  resp. 400 µg  600 µg  800 µg  1000 µg  1200 µg  1400 µg og 1600 µg  hjelpestoffer. Fargestoff: Jernoksider (E 172)  titandioksid (E 171).
